home,away,score,year
Краснодар,ЦСКА,1 : 1,2018/2019
Краснодар,Ростов,2 : 2,2018/2019
Краснодар,Динамо М,0 : 2,2018/2019
Краснодар,Спартак М,2 : 1,2018/2019
Краснодар,Арсенал,2 : 0,2018/2019
Краснодар,Уфа,2 : 0,2018/2019
Краснодар,Рубин,1 : 0,2018/2019
Краснодар,Урал,3 : 0,2018/2019
Краснодар,Сочи,3 : 0,2018/2019
Краснодар,Ахмат,4 : 0,2018/2019
Краснодар,Тамбов,0 : 0,2018/2019
Краснодар,Крылья Советов,4 : 2,2018/2019
Краснодар,Оренбург,1 : 1,2018/2019
ЦСКА,Зенит,0 : 4,2018/2019
ЦСКА,Локомотив М,1 : 0,2018/2019
ЦСКА,Краснодар,3 : 2,2018/2019
ЦСКА,Ростов,1 : 3,2018/2019
ЦСКА,Динамо М,0 : 1,2018/2019
ЦСКА,Спартак М,2 : 0,2018/2019
ЦСКА,Арсенал,0 : 1,2018/2019
ЦСКА,Уфа,0 : 0,2018/2019
ЦСКА,Рубин,1 : 1,2018/2019
ЦСКА,Урал,1 : 1,2018/2019
ЦСКА,Сочи,0 : 0,2018/2019
ЦСКА,Ахмат,3 : 0,2018/2019
ЦСКА,Тамбов,2 : 0,2018/2019
ЦСКА,Крылья Советов,1 : 0,2018/2019
ЦСКА,Оренбург,2 : 1,2018/2019
Ростов,Зенит,1 : 2,2018/2019
Ростов,Локомотив М,1 : 3,2018/2019
Ростов,Краснодар,1 : 1,2018/2019
Ростов,ЦСКА,3 : 2,2018/2019
Ростов,Динамо М,3 : 0,2018/2019
Ростов,Спартак М,2 : 2,2018/2019
Ростов,Арсенал,2 : 1,2018/2019
Ростов,Уфа,1 : 2,2018/2019
Ростов,Рубин,2 : 1,2018/2019
Ростов,Урал,0 : 0,2018/2019
Ростов,Сочи,2 : 0,2018/2019
Ростов,Ахмат,2 : 1,2018/2019
Ростов,Тамбов,1 : 2,2018/2019
Ростов,Крылья Советов,1 : 0,2018/2019
Ростов,Оренбург,2 : 1,2018/2019
Динамо М,Зенит,0 : 2,2018/2019
Динамо М,Локомотив М,1 : 2,2018/2019
Динамо М,Краснодар,1 : 1,2018/2019
Динамо М,ЦСКА,0 : 0,2018/2019
Динамо М,Ростов,2 : 1,2018/2019
Динамо М,Спартак М,0 : 2,2018/2019
Динамо М,Арсенал,0 : 1,2018/2019
Динамо М,Уфа,0 : 0,2018/2019
Динамо М,Рубин,0 : 1,2018/2019
Динамо М,Урал,2 : 0,2018/2019
Динамо М,Сочи,2 : 3,2018/2019
Динамо М,Ахмат,1 : 1,2018/2019
Динамо М,Тамбов,1 : 0,2018/2019
Динамо М,Крылья Советов,2 : 0,2018/2019
Динамо М,Оренбург,0 : 1,2018/2019
Спартак М,Зенит,0 : 1,2018/2019
Спартак М,Локомотив М,1 : 1,2018/2019
Спартак М,Краснодар,0 : 1,2018/2019
Спартак М,ЦСКА,2 : 1,2018/2019
Спартак М,Ростов,1 : 4,2018/2019
Спартак М,Динамо М,0 : 0,2018/2019
Спартак М,Арсенал,0 : 1,2018/2019
Спартак М,Уфа,0 : 0,2018/2019
Спартак М,Рубин,0 : 0,2018/2019
Спартак М,Урал,1 : 2,2018/2019
Спартак М,Сочи,1 : 0,2018/2019
Спартак М,Ахмат,3 : 0,2018/2019
Спартак М,Тамбов,2 : 3,2018/2019
Спартак М,Крылья Советов,2 : 0,2018/2019
Спартак М,Оренбург,1 : 2,2018/2019
Арсенал,Зенит,0 : 1,2018/2019
Арсенал,Локомотив М,4 : 0,2018/2019
Арсенал,Краснодар,1 : 2,2018/2019
Арсенал,ЦСКА,1 : 2,2018/2019
Арсенал,Ростов,2 : 3,2018/2019
Арсенал,Динамо М,1 : 1,2018/2019
Арсенал,Спартак М,2 : 3,2018/2019
Арсенал,Уфа,1 : 0,2018/2019
Арсенал,Рубин,0 : 1,2018/2019
Арсенал,Урал,1 : 1,2018/2019
